# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	650
#@/user_id	532af1a8-603d-4b17-9110-0468e8e0d5e5
a 	啊	c=1 d=0.956411 t=650
me 	么	c=1 d=0.995012 t=650
mei 	没	c=0 d=0.0878095 t=650
mei pei zhi 	没配置	c=1 d=0.882497 t=650
mei sheng xiao 	没生效	c=1 d=0.909373 t=650
mei you 	没有	c=3 d=2.3205 t=650
men 	们	c=1 d=0.900325 t=650
men 	门	c=1 d=0.895834 t=650
ming ling 	命令	c=4 d=3.26984 t=650
ming tian 	明天	c=1 d=0.955997 t=650
mo shi 	模式	c=1 d=0.810584 t=650
mu qian 	目前	c=2 d=1.56055 t=650
na le 	拿了	c=1 d=0.985112 t=650
na li 	哪里	c=1 d=1 t=650
na xie 	哪些	c=3 d=2.16991 t=650
na yang 	那样	c=1 d=0.995012 t=650
nei 	内	c=1 d=0.782705 t=650
neng bu neng 	能不能	c=3 d=2.47886 t=650
ni 	你	c=1 d=0.985112 t=650
ni jian yi 	你建议	c=1 d=0.97531 t=650
ni zhe ge 	你这个	c=1 d=0.99005 t=650
nie 	捏	c=1 d=0.900325 t=650
o 	哦	c=1 d=0.980199 t=650
pao le 	跑了	c=1 d=0.970446 t=650
pao qi lai 	跑起来	c=1 d=0.882497 t=650
pei zhi 	配置	c=8 d=4.47789 t=650
pin yin 	拼音	c=2 d=1.9459 t=650
ping jun 	平均	c=1 d=0.960789 t=650
qi dong 	启动	c=1 d=0.927743 t=650
qi dong qi 	启动器	c=2 d=1.90032 t=650
qi fei 	起飞	c=2 d=1.90727 t=650
qu xiao 	取消	c=2 d=1.50064 t=650
quan ping 	全屏	c=2 d=1.76946 t=650
ran er 	然而	c=1 d=0.865022 t=650
ran hou 	然后	c=1 d=0.955997 t=650
rang 	让	c=1 d=0.960789 t=650
rang ta 	让他	c=2 d=1.66866 t=650
ren 	人	c=1 d=0.980199 t=650
ru guo 	如果	c=1 d=0.860708 t=650
ru he 	如何	c=4 d=2.92152 t=650
ru xia 	如下	c=3 d=2.10517 t=650
san re 	散热	c=1 d=0.965605 t=650
shan chu 	删除	c=1 d=0.941765 t=650
shang 	上	c=1 d=0.826959 t=650
shang mian 	上面	c=1 d=0.782705 t=650
shen me 	什么	c=2 d=1.42786 t=650
shi 	时	c=1 d=0.83527 t=650
shi 	是	c=13 d=6.89619 t=650
shi bai 	失败	c=2 d=1.56168 t=650
shi bu shi 	是不是	c=1 d=0.951229 t=650
shi hou 	时候	c=3 d=2.30271 t=650
shi ji 	实际	c=2 d=1.89776 t=650
shi yong 	使用	c=4 d=2.73209 t=650
shou dong 	手动	c=1 d=0.918512 t=650
shu chu 	输出	c=2 d=1.7149 t=650
shu ju 	数据	c=1 d=1 t=650
shu ru 	输入	c=1 d=0.951229 t=650
shu ru fa 	输入法	c=1 d=0.99005 t=650
shua xin lv 	刷新率	c=1 d=0.985112 t=650
suo ping 	锁屏	c=1 d=0.726149 t=650
suo yi 	所以	c=1 d=0.900325 t=650
suo you 	所有	c=4 d=2.49514 t=650
ta bu shi 	他不是	c=1 d=0.99005 t=650
tai 	太	c=1 d=0.970446 t=650
tan chu 	弹出	c=2 d=1.70345 t=650
ti shi 	提示	c=3 d=2.26356 t=650
tian jia 	添加	c=2 d=1.7232 t=650
tiao chu 	跳出	c=1 d=0.97531 t=650
tie zai 	贴在	c=1 d=0.995012 t=650
tong guo 	通过	c=2 d=1.73184 t=650
tong yang 	同样	c=1 d=0.918512 t=650
tong zhi 	通知	c=3 d=2.31749 t=650
tu biao 	图标	c=6 d=5.30476 t=650
tu ran 	突然	c=1 d=0.865022 t=650
tui jian 	推荐	c=2 d=1.99005 t=650
wang 	往	c=1 d=0.878095 t=650
wang 	网	c=1 d=0.932394 t=650
wei sha 	为啥	c=1 d=0.873716 t=650
wei shen me 	为什么	c=10 d=5.94944 t=650
wei zhi 	位置	c=1 d=0.99005 t=650
wen jian 	文件	c=3 d=2.21086 t=650
wen jian jia 	文件夹	c=8 d=5.61762 t=650
wen jian jia zhong 	文件夹中	c=1 d=0.794534 t=650
wen ti 	问题	c=1 d=0.856415 t=650
wo 	我	c=38 d=14.3144 t=650
wo de 	我的	c=5 d=2.66505 t=650
wo shi 	我是	c=1 d=0.843665 t=650
wo xian 	我先	c=1 d=0.726149 t=650
wo xian zai 	我现在	c=1 d=0.677057 t=650
wo xiang 	我想	c=1 d=0.88692 t=650
wo yi jing 	我已经	c=1 d=0.909373 t=650
wo yong 	我用	c=1 d=0.97531 t=650
wo zai 	我在	c=1 d=0.99005 t=650
wu song 	雾凇	c=1 d=0.980199 t=650
wu zong 	无踪	c=1 d=0.995012 t=650
xi tong 	系统	c=2 d=1.50559 t=650
xia 	下	c=4 d=2.97532 t=650
xia mian 	下面	c=2 d=1.57281 t=650
xia zai 	下载	c=1 d=0.970446 t=650
xian 	先	c=0 d=0.0704688 t=650
xian gei chu 	先给出	c=1 d=0.70822 t=650
xian mu 	羡慕	c=1 d=0.759572 t=650
xian shi 	显示	c=5 d=3.48784 t=650
xian shi qi 	显示器	c=1 d=0.97531 t=650
xian zai 	现在	c=3 d=1.83486 t=650
xiang 	向	c=1 d=0.99005 t=650
xiao shi 	消失	c=1 d=0.946485 t=650
xie 	些	c=1 d=1.06338 t=650
xie yi ge 	写一个	c=1 d=0.97531 t=650
xie zai 	卸载	c=1 d=0.814647 t=650
xin jia po 	新加坡	c=5 d=4.95037 t=650
xin xi 	信息	c=1 d=0.790571 t=650
xing le 	醒了	c=1 d=0.99005 t=650
xiu gai 	修改	c=2 d=1.67734 t=650
xuan ze 	选择	c=1 d=0.985112 t=650
ye 	也	c=1 d=0.955997 t=650
ye mei you 	也没有	c=1 d=0.970446 t=650
yi bian 	一边	c=1 d=0.909373 t=650
yi dong 	移动	c=1 d=1 t=650
yi ge 	一个	c=2 d=1.3138 t=650
yi hang 	一行	c=1 d=0.951229 t=650
yi hou 	以后	c=2 d=1.65237 t=650
yi ji 	以及	c=3 d=2.562 t=650
yi jian 	一键	c=1 d=0.860708 t=650
yi qi 	一起	c=1 d=1 t=650
yi ran 	依然	c=1 d=0.909373 t=650
yi shan 	一闪	c=1 d=0.995012 t=650
yi tian 	一天	c=1 d=0.97531 t=650
yi xie 	一些	c=1 d=0.900325 t=650
yi zhi you 	一直有	c=1 d=0.946485 t=650
ying gai 	应该	c=1 d=0.798516 t=650
ying wen 	英文	c=1 d=0.965605 t=650
